experiment,epoch,loss,date,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr
resnet18_h512_bs64_ft1_aap1,5,188.24726028645833,2020-04-13 18:39:53.063549,0.6052228725798644,0.4237457169772124,0.29227262013869176,0.20072686359100655,0.20140325435562006,0.45747653990692266,0.49566223505300944
resnet18_h1024_bs64_ft0_aap1,10,183.98917141927083,2020-04-13 19:15:36.257830,0.5974674513999824,0.4146283483874521,0.2837159365371284,0.19289965877335385,0.2034351216907056,0.4536161729360475,0.4953083547144631
resnet18_h512_bs64_ft0_aap1,14,184.31729609375,2020-04-13 19:16:50.046402,0.5856969906606204,0.4036659274072851,0.27389491883040396,0.18324970385198092,0.19989131339589852,0.44936794572476924,0.4771058606264396
resnet101_h512_bs64_ft0_aap1,7,189.10871438802084,2020-04-13 19:56:08.234227,0.6072661217074834,0.43064579135102526,0.295453336113155,0.20169694692140946,0.2045549650045583,0.4609968590184625,0.5101445051024974
resnet50_h512_bs32_ft1_aap1,5,190.13573194986978,2020-04-13 19:59:19.375481,0.626872365234494,0.45086017721420796,0.31863281523834086,0.22119287023190892,0.21422123714979732,0.47806040765956187,0.5513217999735498
resnet18_h256_bs64_ft0_aap1,25,183.74132005208332,2020-04-13 20:01:58.462543,0.589038681822135,0.41038851372505725,0.280720761697694,0.1904003332008969,0.1992879984960454,0.4483956375636836,0.4830933401805442
resnet101_h512_bs32_ft1_aap1,6,188.3065055501302,2020-04-13 20:19:54.750396,0.6287265366212156,0.4513231838636786,0.31470947360692053,0.21466313717258104,0.21583533232445778,0.4815374029819684,0.5747499706538368
resnet50_h512_bs64_ft0_aap1,20,182.96988059895833,2020-04-13 21:38:25.208311,0.5995115995115472,0.42342899989325067,0.29255580334580705,0.2006467417429637,0.20790367062067994,0.4562985328064483,0.5265168796463033
resnet18_h512_bs64_ft0_aap1_smoothing0,14,184.31729609375,2020-04-13 22:28:00.906454,0.5856969906606204,0.4036659274072851,0.27389491883040396,0.18324970385198092,0.19989131339589852,0.44936794572476924,0.4771058606264396
resnet50_h512_bs64_ft1_aap1_smoothing0,5,190.13573194986978,2020-04-14 01:07:00.637244,0.626872365234494,0.45086017721420796,0.31863281523834086,0.22119287023190892,0.21422123714979732,0.47806040765956187,0.5513217999735498
resnet50_h512_bs64_ft0_aap1_smoothing0,20,182.96988059895833,2020-04-14 02:27:28.392280,0.5995115995115472,0.42342899989325067,0.29255580334580705,0.2006467417429637,0.20790367062067994,0.4562985328064483,0.5265168796463033
resnet101_h512_bs64_ft1_aap1_smoothing0,6,188.3065055501302,2020-04-14 04:08:49.039776,0.6287265366212156,0.4513231838636786,0.31470947360692053,0.21466313717258104,0.21583533232445778,0.4815374029819684,0.5747499706538368
resnet101_h512_bs64_ft0_aap1_smoothing0,7,189.10871438802084,2020-04-14 05:13:59.726771,0.6072661217074834,0.43064579135102526,0.295453336113155,0.20169694692140946,0.2045549650045583,0.4609968590184625,0.5101445051024974
resnet18_h1024_bs64_ft0_aap1_smoothing0,10,183.98917141927083,2020-04-14 06:07:46.182246,0.5974674513999824,0.4146283483874521,0.2837159365371284,0.19289965877335385,0.2034351216907056,0.4536161729360475,0.4953083547144631
resnet18_h512_bs64_ft1_aap1_smoothing0,5,188.24726028645833,2020-04-14 06:40:54.209452,0.6052228725798644,0.4237457169772124,0.29227262013869176,0.20072686359100655,0.20140325435562006,0.45747653990692266,0.49566223505300944
resnet18_h256_bs64_ft0_aap1_smoothing0,25,183.74132005208332,2020-04-14 09:27:42.048072,0.589038681822135,0.41038851372505725,0.280720761697694,0.1904003332008969,0.1992879984960454,0.4483956375636836,0.4830933401805442
resnet50_h256_bs32_ft1_aap1_smoothing0,7,188.03681915690103,2020-04-15 01:38:43.019344,0.6232506064563703,0.4445173909944001,0.3093389510567379,0.2127331040724113,0.2090553242028222,0.4733830171877116,0.541695333254249
resnet50_h256_bs64_ft0_aap1_smoothing0,29,181.13862532552082,2020-04-15 04:01:17.812167,0.6000704411375715,0.42332516767831607,0.29079851927703954,0.19787502073653598,0.207608432291816,0.4583206913930424,0.5275711654104777
resnet101_h256_bs32_ft1_aap1_smoothing0,12,182.92494092610676,2020-04-15 05:35:41.585121,0.62515533463513,0.44623868499234925,0.3105762944847402,0.21356513319272058,0.21751299931842322,0.47445252473668253,0.5675194669000582
resnet50_h1024_bs32_ft1_aap1_smoothing0,6,187.2109516357422,2020-04-15 08:37:29.503812,0.6298507462685979,0.45265427305588446,0.3190374036647675,0.22040304587782789,0.21361684851895416,0.47562354043899013,0.55452665680076
resnet101_h256_bs64_ft0_aap1_smoothing0,21,182.71220348307293,2020-04-15 08:39:20.754660,0.6050655811849294,0.42424662255611173,0.2928086446540554,0.19917938134098265,0.20602623357529448,0.4602990228916631,0.535179593425173
resnet101_h1024_bs32_ft1_aap1_smoothing0,6,186.54643675130208,2020-04-15 11:53:01.354201,0.6299926713081138,0.45412326054391466,0.3185871113207865,0.21985872870069223,0.21920573170030355,0.4805201468023562,0.5864158826422582
resnet50_h1024_bs32_ft0_aap1_smoothing0,6,190.4266637532552,2020-04-15 12:14:54.934210,0.6068169618893714,0.42977221959111583,0.2995792260670942,0.20796969787683683,0.20622701715264827,0.45900609334004683,0.5187667816420519
resnet101_h1024_bs32_ft0_aap1_smoothing0,12,185.05426982421875,2020-04-15 16:00:34.066662,0.6072846538925766,0.4277179415982155,0.2962950907425172,0.20249712732873013,0.20993342824920733,0.4625954551185498,0.5239224290042607
