experiment,epoch,loss,date,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr
resnet18_h512_bs64_ft1_aap1,5,188.24726028645833,2020-04-13 18:39:53.063549,0.6031289336449737,0.42039494809993677,0.28870136346409586,0.19388779636250378,0.19573772630790165,0.45281774669635216,0.4655339763183884
resnet18_h1024_bs64_ft0_aap1,10,183.98917141927083,2020-04-13 19:15:36.257830,0.5839944207130516,0.4040374583284246,0.2758660379683029,0.18771519942985737,0.19409318413292842,0.441779323038474,0.45690819408864775
resnet18_h512_bs64_ft0_aap1,14,184.31729609375,2020-04-13 19:16:50.046402,0.5878845489111141,0.4109508108761784,0.2799084702226398,0.18729567939907385,0.19588050544456845,0.4491274433618033,0.4532399034070124
resnet101_h512_bs64_ft0_aap1,7,189.10871438802084,2020-04-13 19:56:08.234227,0.5999635668093086,0.41978492366243064,0.2883803311328979,0.19519733928596,0.19454199108389594,0.44856289388373805,0.4732483794071278
resnet50_h512_bs32_ft1_aap1,5,190.13573194986978,2020-04-13 19:59:19.375481,0.6167712291242717,0.44261238171324374,0.3121858283431722,0.21499156678754866,0.20782968969787521,0.4711479901546088,0.5291669836114353
resnet18_h256_bs64_ft0_aap1,25,183.74132005208332,2020-04-13 20:01:58.462543,0.5818827401056047,0.4059484391770034,0.2792831460665825,0.1901557495786352,0.19284608483582932,0.44170743559300535,0.4528758575421204
resnet101_h512_bs32_ft1_aap1,6,188.3065055501302,2020-04-13 20:19:54.750396,0.6291451731760658,0.4499784096230112,0.31220601560459715,0.21144285140547492,0.209406092061908,0.4693409602276907,0.5411281699394719
resnet50_h512_bs64_ft0_aap1,20,182.96988059895833,2020-04-13 21:38:25.208311,0.5996471107189589,0.4188048533002812,0.28767043810821685,0.19659408515040436,0.20350155685748064,0.45635364522348476,0.5081529496198199
resnet18_h512_bs64_ft0_aap1_smoothing0,14,184.31729609375,2020-04-13 22:28:00.906454,0.5878845489111141,0.4109508108761784,0.2799084702226398,0.18729567939907385,0.19588050544456845,0.4491274433618033,0.4532399034070124
resnet50_h512_bs64_ft1_aap1_smoothing0,5,190.13573194986978,2020-04-14 01:07:00.637244,0.6167712291242717,0.44261238171324374,0.3121858283431722,0.21499156678754866,0.20782968969787521,0.4711479901546088,0.5291669836114353
resnet50_h512_bs64_ft0_aap1_smoothing0,20,182.96988059895833,2020-04-14 02:27:28.392280,0.5996471107189589,0.4188048533002812,0.28767043810821685,0.19659408515040436,0.20350155685748064,0.45635364522348476,0.5081529496198199
resnet101_h512_bs64_ft1_aap1_smoothing0,6,188.3065055501302,2020-04-14 04:08:49.039776,0.6291451731760658,0.4499784096230112,0.31220601560459715,0.21144285140547492,0.209406092061908,0.4693409602276907,0.5411281699394719
resnet101_h512_bs64_ft0_aap1_smoothing0,7,189.10871438802084,2020-04-14 05:13:59.726771,0.5999635668093086,0.41978492366243064,0.2883803311328979,0.19519733928596,0.19454199108389594,0.44856289388373805,0.4732483794071278
resnet18_h1024_bs64_ft0_aap1_smoothing0,10,183.98917141927083,2020-04-14 06:07:46.182246,0.5839944207130516,0.4040374583284246,0.2758660379683029,0.18771519942985737,0.19409318413292842,0.441779323038474,0.45690819408864775
resnet18_h512_bs64_ft1_aap1_smoothing0,5,188.24726028645833,2020-04-14 06:40:54.209452,0.6031289336449737,0.42039494809993677,0.28870136346409586,0.19388779636250378,0.19573772630790165,0.45281774669635216,0.4655339763183884
resnet18_h256_bs64_ft0_aap1_smoothing0,25,183.74132005208332,2020-04-14 09:27:42.048072,0.5818827401056047,0.4059484391770034,0.2792831460665825,0.1901557495786352,0.19284608483582932,0.44170743559300535,0.4528758575421204
resnet50_h256_bs32_ft1_aap1_smoothing0,7,188.03681915690103,2020-04-15 01:38:43.019344,0.621570660884263,0.44261822630813513,0.3095402055060532,0.2123988062926863,0.20534168672694564,0.4624641558333573,0.5186199913332841
resnet50_h256_bs64_ft0_aap1_smoothing0,29,181.13862532552082,2020-04-15 04:01:17.812167,0.5934472432622341,0.41824354089143817,0.2878970830972872,0.19715974547536996,0.20220779817325435,0.453599722155344,0.517522374527812
resnet101_h256_bs32_ft1_aap1_smoothing0,12,182.92494092610676,2020-04-15 05:35:41.585121,0.6236107464775861,0.45219594019943765,0.3194573836425027,0.22219106301491584,0.2130224916345935,0.47495854287982286,0.5537375312682122
resnet50_h1024_bs32_ft1_aap1_smoothing0,6,187.2109516357422,2020-04-15 08:37:29.503812,0.6252759381897879,0.4478755109209526,0.3135183647630413,0.21570352902230294,0.20778225899706884,0.4655427257801623,0.5313040936089171
resnet101_h256_bs64_ft0_aap1_smoothing0,21,182.71220348307293,2020-04-15 08:39:20.754660,0.5998907302858678,0.4219100008277755,0.2907341793620462,0.19954734092479318,0.19952477672126842,0.45431576136559876,0.501783775881331
resnet101_h1024_bs32_ft1_aap1_smoothing0,6,186.54643675130208,2020-04-15 11:53:01.354201,0.6215877561979216,0.4474710304769794,0.31551965341484706,0.21931763812829472,0.21556081550199505,0.47026928419915703,0.5522572820316625
resnet50_h1024_bs32_ft0_aap1_smoothing0,6,190.4266637532552,2020-04-15 12:14:54.934210,0.6046972014756947,0.4231115431549454,0.2901947731395462,0.19768504241729207,0.1988094239959793,0.4510896788205646,0.49466485789718084
resnet101_h1024_bs32_ft0_aap1_smoothing0,12,185.05426982421875,2020-04-15 16:00:34.066662,0.5937823834196378,0.415695827086098,0.28534300326433887,0.1958184264586681,0.20363652705133783,0.45437055400947635,0.49981683373720265
