experiment,epoch,loss,date,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr
resnet18_bs64_ft0_l3_h1,14,41.9603133544922,2020-04-17 05:43:16.706420,0.590760090145401,0.403517632815797,0.268718588462215,0.17595074387556,0.185485228567412,0.426227261029636,0.43356860562108
resnet18_bs64_ft0_l5_h1,16,39.0515314941406,2020-04-17 08:04:03.627139,0.588656054805502,0.403763075390153,0.270567195128271,0.178123573238505,0.186498551752534,0.430254704077061,0.443502209540603
resnet18_bs64_ft0_l7_h1,11,41.0975938557943,2020-04-17 10:16:25.287667,0.601001980963498,0.414493266364345,0.274843174714057,0.181628545399278,0.183420156509706,0.433460721440532,0.452379097161447
resnet18_bs64_ft0_l3_h2,7,45.1613604410807,2020-04-17 11:51:25.789480,0.601001204926794,0.413147082136466,0.272151730307487,0.177298545486197,0.179166011448366,0.429179282961169,0.415719890196204
resnet18_bs64_ft0_l5_h2,5,46.4478171061198,2020-04-17 13:35:40.651024,0.57245043940317,0.390380807413359,0.25618393577228,0.164004652802936,0.179101552846574,0.418983693295816,0.404707129010406
resnet18_bs64_ft0_l7_h2,8,41.8883940755208,2020-04-17 17:48:32.246026,0.59677709093225,0.411418394520492,0.274774755299893,0.179147640897669,0.179012340003895,0.429063748006963,0.421230911214473
resnet18_bs64_ft0_l3_h3,4,48.1328853759766,2020-04-17 19:22:37.715955,0.588561453947984,0.402376186151046,0.260502643086954,0.166788360798706,0.177312002773512,0.421704901801038,0.3870989940408
resnet18_bs64_ft0_l5_h3,8,41.5873956298828,2020-04-17 21:51:52.000388,0.578904991948412,0.393981177706784,0.260806768860867,0.169273171415641,0.183595139172818,0.425692201652758,0.410287278330553
resnet18_bs64_ft0_l7_h3,6,43.299091813151,2020-04-18 00:36:05.077389,0.598422633995037,0.411753559960007,0.272692890827601,0.177979528517566,0.182364480704372,0.429982741543483,0.442620412664826
resnet18_bs64_ft1_l3_h1,14,41.4246530843099,2020-04-18 01:33:30.143870,0.60257466529345,0.417124165961719,0.278092797999739,0.182354485330053,0.187001505493405,0.435556680641723,0.45278107744311
resnet18_bs64_ft1_l5_h1,19,35.2099123128255,2020-04-18 02:55:16.650848,0.595140873825991,0.402970171044902,0.264956844304415,0.170394547487963,0.186633902523106,0.431528266984938,0.44152153311907
resnet18_bs64_ft1_l7_h1,12,38.9029117757161,2020-04-18 04:16:38.237405,0.602776939329852,0.415402387989405,0.280004181153279,0.186083972167834,0.192127590672247,0.441178029909471,0.465677264242045
resnet18_bs64_ft1_l3_h2,8,42.2260498982747,2020-04-18 05:27:48.936433,0.600946372239684,0.417893039034945,0.280786201561938,0.186135945882614,0.187106731361568,0.435308143628296,0.462584754079035
resnet18_bs64_ft1_l5_h2,8,39.5560412516276,2020-04-18 07:09:22.653572,0.597047510136127,0.409518381512124,0.269170534062667,0.172569549664265,0.184850487142842,0.430832100166568,0.444600593318906
resnet18_bs64_ft1_l7_h2,9,39.0537100260417,2020-04-18 08:53:51.097100,0.587158686189099,0.405290053804633,0.267893054905449,0.174397703903901,0.186022030098844,0.433646091988821,0.441827658380919
resnet18_bs64_ft1_l3_h3,5,43.9431692667643,2020-04-18 10:16:00.278314,0.602084741608549,0.418889356877793,0.279214451154056,0.183468041219053,0.18576437672978,0.432140558018395,0.438098470500037
resnet18_bs64_ft1_l5_h3,11,35.8741467081706,2020-04-18 12:19:29.700306,0.582002182756168,0.390353330871233,0.253135005748273,0.163384658504711,0.184446781133837,0.423522752128783,0.426106675584052
resnet18_bs64_ft1_l7_h3,6,41.7872472086589,2020-04-18 14:20:53.583437,0.589363384736992,0.40363580849473,0.264231312961828,0.1678261314713,0.188835436454669,0.434614816853617,0.439708162442991
resnet50_bs32_ft0_l3_h1,3,42.2063491027832,2020-04-18 16:26:30.588523,0.60147700539023,0.416083565025119,0.280249125838435,0.187324435725625,0.186576307529272,0.439587128405537,0.455342987653431
resnet50_bs32_ft1_l3_h1,4,36.0270101267497,2020-04-18 18:37:03.686163,0.603459732136358,0.412668195069197,0.269746575998155,0.172127641215543,0.189021548230023,0.434565902384892,0.462085794649507
resnet101_bs32_ft0_l3_h1,1,52.9790090393066,2020-04-18 20:35:11.439308,0.594600505403599,0.408885056804159,0.269008319775991,0.17365102819736,0.180138326795706,0.424409692117878,0.421044405189417
resnet101_bs32_ft1_l3_h1,3,37.5786676106771,2020-04-18 23:07:05.628863,0.615548347861279,0.434561926450564,0.295885454809378,0.194329938221477,0.199317194897066,0.451326752120744,0.504518899792966
